,-1,EA,2ZJ4669390,140794234
1610MX,-1,EA,2ZJ4669390,140794234
2131MX,-1,EA,2ZJ4669390,140794234
2631MX,-2,EA,2ZJ4669390,140794234
0963MX,-3,EA,2ZJ4669390,140794234
4007MX,-1,EA,2ZJ4669390,140794234
4000MX,-2,EA,2ZJ4669390,140794234
0364MX,-2,EA,2ZJ4669390,140794234
3119MX,-1,EA,2ZJ4669390,140794234
0064MX,-1,EA,2ZJ4669390,140794234
0085MX,-1,EA,2ZJ4669390,140794234
0565MX,-2,EA,2ZJ4669390,140794234
0032MX,-1,EA,2ZJ4669390,140794234
3C61MX,-1,EA,2ZJ4682917,140828938
1120MX,-2,EA,2ZJ4678253,140820477
3121MX,-3,EA,2ZJ4678253,140820477
030KMX,-1,EA,2ZJ4678253,140820477
044KMX,-5,EA,2ZJ4678253,140820477
0884MX,-1,EA,2ZJ4678253,140820477
2648MX,-5,EA,2ZJ4678253,140820477
2131MX,-10,EA,2ZJ4678253,140820477
0831MX,-2,EA,2ZJ4678253,140820477
1473MX,-2,EA,2ZJ4678253,140820477
1061MX,-2,EA,2ZJ4678253,140820477
0964MX,-2,EA,2ZJ4678253,140820477
4007MX,-5,EA,2ZJ4678253,140820477
4000MX,-2,EA,2ZJ4678253,140820477
4001MX,-5,EA,2ZJ4678253,140820477
0366MX,-1,EA,2ZJ4678253,140820477
0364MX,-2,EA,2ZJ4678253,140820477
3119MX,-3,EA,2ZJ4678253,140820477
1188MX,-5,EA,2ZJ4678253,140820477
0370MX,-5,EA,2ZJ4678253,140820477
3123MX,-2,EA,2ZJ4678253,140820477
0565MX,-5,EA,2ZJ4678253,140820477
2864MX,-3,EA,2ZJ4678253,140820477
0039MX,-2,EA,2ZJ4678253,140820477
4000MX,-1,EA,2T42356023,140823274
0079MX,-1,EA,2T42356023,140823274
3C62MX,-1,EA,2ZJ4683008,140829112
426MMX,-4,EA,2T42358604,140829231
282MMX,-4,EA,2T42358604,140829231
0899MX,-1,EA,2T42358604,140829231
0767MX,-1,EA,2T42358604,140829231
0413MX,-4,EA,2T42358604,140829231
0884MX,-1,EA,2ZJ4679355,140822492
1610MX,-1,EA,2ZJ4679355,140822492
2648MX,-1,EA,2ZJ4679355,140822492
1926MX,-1,EA,2ZJ4679355,140822492
2631MX,-1,EA,2ZJ4679355,140822492
0922MX,-1,EA,2ZJ4679355,140822492
0963MX,-1,EA,2ZJ4679355,140822492
4002MX,-1,EA,2ZJ4679355,140822492
4000MX,-1,EA,2ZJ4679355,140822492
0366MX,-1,EA,2ZJ4679355,140822492
3119MX,-1,EA,2ZJ4679355,140822492
3525MX,-2,EA,2ZJ4679355,140822492
1065MX,-1,EA,2ZJ4679355,140822492
3123MX,-1,EA,2ZJ4679355,140822492
0565MX,-1,EA,2ZJ4679355,140822492
2864MX,-1,EA,2ZJ4679355,140822492
3115MX,-1,EA,2ZJ4679355,140822492
177MMX,-1,EA,2ZJ4683050,140829171
426MMX,-1,EA,2ZJ4683050,140829171
282MMX,-1,EA,2ZJ4683050,140829171
0565MX,-1,EA,2ZJ4683050,140829171
S202MX,-1,EA,2ZJ4683050,140829171
0884MX,-1,EA,2ZJ4679832,140823347
1610MX,-1,EA,2ZJ4679832,140823347
2631MX,-1,EA,2ZJ4679832,140823347
0922MX,-1,EA,2ZJ4679832,140823347
4002MX,-1,EA,2ZJ4679832,140823347
4000MX,-1,EA,2ZJ4679832,140823347
1065MX,-1,EA,2ZJ4679832,140823347
